,MaxAbsEStateIndex,MaxEStateIndex,MinAbsEStateIndex,MinEStateIndex,BCUT2D_MWHI,BCUT2D_MWLOW,BCUT2D_CHGHI,BCUT2D_CHGLO,BCUT2D_LOGPHI,BCUT2D_LOGPLOW,BCUT2D_MRHI,BCUT2D_MRLOW,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,Kappa1,Kappa2,Kappa3,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SlogP_VSA1,SlogP_VSA10,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA8,EState_VSA1,EState_VSA10,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,MolWt,HeavyAtomMolWt,ExactMolWt,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,NumValenceElectrons,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedHeterocycles,NumSaturatedRings,RingCount,fr_Ar_N,fr_NH0,fr_alkyl_halide,fr_aryl_methyl,fr_ether,fr_halogen,fr_imidazole,fr_quatN,fr_sulfonamd,fr_unbrch_alkane
SlogP_VSA_PC6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5096706213594887,-0.22619036756076688,0.34050805672068357,0.018360182139599564,0.0350700748303803,-0.017262417521816877,-0.3542315650561336,-0.322532817606999,0.5845986837505954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SlogP_VSA_PC7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2641109999530652,0.681520729485995,0.2232927785945019,0.2063664847877557,-0.37781041826705103,0.369230560535875,-0.24017110516735707,0.12017116317640597,-0.14877129013126122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SlogP_VSA_PC8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.23099485224290453,0.07965537564591463,-0.14724907642868948,-0.21756924777275088,-0.6817322765050257,-0.4442773684430241,-0.10847147861158955,0.19952273620166847,0.3969396306864763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EState_VSA_PC1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5730648066037297,0.5995627392541607,-0.26820730818537,-0.15981919092624,0.08019285085480869,0.013453142371177135,-0.10805750479107716,-0.14898724168714675,0.16527667377358016,-0.3831997304137372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EState_VSA_PC2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13758265805155956,0.16622995350315634,0.054401544959155106,0.330455623935448,0.35428245289679966,-0.5285070388932418,-0.35181264806272317,0.4078655050895831,-0.3593152580914158,0.13118138744057964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EState_VSA_PC3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.18692989085682757,0.15499252510398068,0.48569433805796663,0.4459280357685043,0.09527397273997915,0.32108597010666856,0.5207830843851388,0.1514226369702356,-0.18345021932610533,-0.2575122927933952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EState_VSA_PC4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.152691151292815,0.05179135809933258,-0.4283094329872071,0.23913079123443787,0.3377415913689756,0.23553907382966732,0.23342859069354657,-0.3673790095864748,-0.21195925309405345,0.5739682529459111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EState_VSA_PC5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.12526621138116362,-0.07737244247780427,0.32883257833105833,0.18062835963242543,0.5788249864428185,-0.11865965138294353,-0.14787357003288187,-0.3880409763633006,0.5585508501491276,-0.0634388721956764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EState_VSA_PC6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15549512335146773,0.11226786780582677,0.20556199076944048,0.5039433421229014,-0.5849614983490212,0.04914187839962845,-0.41410506582555434,-0.3203153612761364,0.07439968120258234,0.20685125287239714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EState_VSA_PC7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04037891758977398,-0.008183075360586881,-0.34941263447683313,0.3429456572271087,-0.10384548647290613,0.000978534240273256,0.18441332841833233,0.5279626742266663,0.6429061790477976,0.14743001263702604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
